Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
oneplus-15r-ace-edition-12gb256gb-electric-violet-worlds-first-snapdragon-8-gen-5-7400mah-battery-personalised-ai-game-changing-165hz-display-ip68-ip69-ip66-ip69k-4k-120fps-video,OnePlus 15R - ACE Edition | 12GB+256GB | Electric Violet | World's First Snapdragon® 8 Gen 5 | 7400mAh Battery| Personalised AI | Game-changing 165Hz Display | IP68 IP69 IP66 & IP69K | 4K 120fps video,,Amazon,General,,TRUE,Title,Default Title,B0FZT1D63F,47998.0,999,continue,manual,True,True,"https://m.media-amazon.com/images/I/41pH0ZH7CkL._SX38_SY50_CR,0,0,38,50_.jpg",1,active
oneplus-15r-ace-edition-12gb256gb-electric-violet-worlds-first-snapdragon-8-gen-5-7400mah-battery-personalised-ai-game-changing-165hz-display-ip68-ip69-ip66-ip69k-4k-120fps-video,,,,,,,,,,,,,,,,"https://m.media-amazon.com/images/I/61wOvwchyVL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg",1,active
oneplus-15r-ace-edition-12gb256gb-electric-violet-worlds-first-snapdragon-8-gen-5-7400mah-battery-personalised-ai-game-changing-165hz-display-ip68-ip69-ip66-ip69k-4k-120fps-video,,,,,,,,,,,,,,,,"https://m.media-amazon.com/images/I/41Vnk-b+4IL._SX38_SY50_CR,0,0,38,50_.jpg",2,active
oneplus-15r-ace-edition-12gb256gb-electric-violet-worlds-first-snapdragon-8-gen-5-7400mah-battery-personalised-ai-game-changing-165hz-display-ip68-ip69-ip66-ip69k-4k-120fps-video,,,,,,,,,,,,,,,,"https://m.media-amazon.com/images/I/311ozG5VClL._SX38_SY50_CR,0,0,38,50_.jpg",3,active
oneplus-15r-ace-edition-12gb256gb-electric-violet-worlds-first-snapdragon-8-gen-5-7400mah-battery-personalised-ai-game-changing-165hz-display-ip68-ip69-ip66-ip69k-4k-120fps-video,,,,,,,,,,,,,,,,"https://m.media-amazon.com/images/I/41hjP6t1-jL._SX38_SY50_CR,0,0,38,50_.jpg",4,active
oneplus-15r-ace-edition-12gb256gb-electric-violet-worlds-first-snapdragon-8-gen-5-7400mah-battery-personalised-ai-game-changing-165hz-display-ip68-ip69-ip66-ip69k-4k-120fps-video,,,,,,,,,,,,,,,,"https://m.media-amazon.com/images/I/41AlC0bMeYL._SX38_SY50_CR,0,0,38,50_.jpg",5,active
oneplus-15r-ace-edition-12gb256gb-electric-violet-worlds-first-snapdragon-8-gen-5-7400mah-battery-personalised-ai-game-changing-165hz-display-ip68-ip69-ip66-ip69k-4k-120fps-video,,,,,,,,,,,,,,,,"https://m.media-amazon.com/images/I/41Wv8ghgvSL._SX38_SY50_CR,0,0,38,50_.jpg",6,active
oneplus-15r-ace-edition-12gb256gb-electric-violet-worlds-first-snapdragon-8-gen-5-7400mah-battery-personalised-ai-game-changing-165hz-display-ip68-ip69-ip66-ip69k-4k-120fps-video,,,,,,,,,,,,,,,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,7,active
motorola-g06-power-pantone-tendril-64-gb,"MOTOROLA g06 power (Pantone Tendril, 64 GB)","<p>Buy MOTOROLA g06 power online at best price with offers in India. MOTOROLA g06 power (Pantone Tendril, 64 GB) features and specifications include 4 GB RAM, 64 GB ROM, 7000 mAh Battery, 50 MP back camera and 8 MP front camera. Compare g06 power by price and performance to shop at Flipkart</p>",MOTOROLA,General,,TRUE,Title,Default Title,MOBHFSCEDQXXDXUQ,7999.0,999,continue,manual,True,True,https://rukmini1.flixcart.com/image/1500/1500/xif0q/mobile/r/k/4/-original-imahgctgwut6fewm.jpeg,1,active
motorola-g06-power-pantone-tendril-64-gb,,,,,,,,,,,,,,,,https://rukmini1.flixcart.com/image/1500/1500/xif0q/mobile/n/r/z/-original-imahgctgxgjxwfu4.jpeg,1,active
motorola-g06-power-pantone-tendril-64-gb,,,,,,,,,,,,,,,,https://rukmini1.flixcart.com/image/1500/1500/xif0q/mobile/6/f/0/-original-imahgctgztez3xgy.jpeg,2,active
motorola-g06-power-pantone-tendril-64-gb,,,,,,,,,,,,,,,,https://rukmini1.flixcart.com/image/1500/1500/xif0q/mobile/s/w/8/-original-imahgctgwcmqhhuv.jpeg,3,active
motorola-g06-power-pantone-tendril-64-gb,,,,,,,,,,,,,,,,https://rukmini1.flixcart.com/image/1500/1500/xif0q/mobile/d/c/p/-original-imahgctgn5qv3zwf.jpeg,4,active
hancock-men-black-slim-fit-formal-shirt,Hancock Men Black Slim Fit Formal Shirt,<p>Hancock Men Black Slim Fit Formal Shirt</p>,Hancock,General,,TRUE,Title,Default Title,1849875,495.0,999,continue,manual,True,True,"https://assets.myntassets.com/h_1440,q_75,w_1080/v1/assets/images/1849875/2023/7/14/b1dc8010-eea6-4849-a02a-85a27cd45bb21689328395526-Hancock-Men-Black-Slim-Fit-Formal-Shirt-9391689328394990-1.jpg",1,active
